event_time,event_type,organisation_name,place_name,asset_name,asset_type,module_id
2021-02-21 5:53:05,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,
2021-02-19 5:53:02,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-19 10:53:05,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 18:30:09,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,PD-PFG-92,3,
2021-02-16 9:31:11,Connected,Larson-Mccall,Benson Ltd,MO-RQJ-49,8,
2021-02-22 3:24:48,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 8:29:12,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 0:57:11,Connected,"Taylor, Flores and Douglas",Olson Inc,MA-REN-12,3,
2021-02-17 11:28:56,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,
2021-02-22 11:36:29,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-16 7:14:50,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-19 12:04:36,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-22 11:52:48,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 0:57:36,Connected,"Taylor, Flores and Douglas",Torres-Wilson,DA-IXV-17,3,
2021-02-17 18:15:05,Disconnected,"Taylor, Flores and Douglas","Hart, Mason and Smith",WN-DQW-72,3,
2021-02-20 20:34:01,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-23 3:49:15,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-16 9:31:47,Connected,Larson-Mccall,Benson Ltd,GR-TDN-28,8,
2021-02-17 14:15:22,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-16 0:26:08,Connected,Larson-Mccall,Benson Ltd,XX-PXF-22,8,
2021-02-22 7:49:38,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-16 4:33:45,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-19 11:56:30,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
